VT("/VC") X,VT("/VC") Y
0,0
6.25e-13,6.875000000000001e-07
1.875e-12,2.0625e-06
4.375e-12,4.812500000000001e-06
9.375e-12,1.03125e-05
1.9375e-11,2.13125e-05
2.9375e-11,3.23125e-05
3.937499999999999e-11,4.33125e-05
4.937499999999999e-11,5.43125e-05
5.937499999999999e-11,6.53125e-05
6.937499999999999e-11,7.631250000000001e-05
7.9375e-11,8.73125e-05
8.9375e-11,9.831250000000002e-05
9.937500000000001e-11,0.0001093125
1.09375e-10,0.0001203125
1.19375e-10,0.0001313125
1.29375e-10,0.0001423125
1.39375e-10,0.0001533125
1.49375e-10,0.0001643125
1.59375e-10,0.0001753125
1.69375e-10,0.0001863125
1.79375e-10,0.0001973125
1.89375e-10,0.0002083125
1.993749999999999e-10,0.0002193125
2.093749999999999e-10,0.0002303125
2.193749999999999e-10,0.0002413124999999999
2.293749999999999e-10,0.0002523125
2.393749999999999e-10,0.0002633124999999999
2.493749999999999e-10,0.0002743124999999999
2.593749999999999e-10,0.0002853125
2.69375e-10,0.0002963125
2.79375e-10,0.0003073125
2.89375e-10,0.0003183125
2.99375e-10,0.0003293125000000001
3.09375e-10,0.0003403125000000001
3.19375e-10,0.0003513125000000001
3.293750000000001e-10,0.0003623125000000001
3.393750000000001e-10,0.0003733125000000001
3.493750000000001e-10,0.0003843125000000002
3.593750000000001e-10,0.0003953125000000002
3.693750000000001e-10,0.0004063125000000002
3.793750000000002e-10,0.0004173125000000002
3.893750000000002e-10,0.0004283125000000003
3.993750000000002e-10,0.0004393125000000002
4.093750000000002e-10,0.0004503125000000002
4.193750000000002e-10,0.0004613125000000003
4.293750000000002e-10,0.0004723125000000003
4.393750000000003e-10,0.0004833125000000003
4.493750000000003e-10,0.0004943125000000003
4.593750000000003e-10,0.0005053125000000004
4.693750000000003e-10,0.0005163125000000004
4.793750000000002e-10,0.0005273125000000003
4.893750000000002e-10,0.0005383125000000003
4.946875000000001e-10,0.0005441562500000002
5e-10,0.0005500000000000001
5.1e-10,0.0005610000000000001
5.2e-10,0.000572
5.299999999999999e-10,0.000583
5.399999999999999e-10,0.0005939999999999999
5.499999999999999e-10,0.0006049999999999999
5.599999999999998e-10,0.0006159999999999999
5.699999999999998e-10,0.0006269999999999998
5.799999999999998e-10,0.0006379999999999998
5.899999999999997e-10,0.0006489999999999997
5.999999999999997e-10,0.0006599999999999997
6.099999999999997e-10,0.0006709999999999997
6.199999999999996e-10,0.0006819999999999997
6.299999999999996e-10,0.0006929999999999996
6.399999999999995e-10,0.0007039999999999995
6.499999999999995e-10,0.0007149999999999995
6.599999999999995e-10,0.0007259999999999995
6.699999999999994e-10,0.0007369999999999995
6.799999999999994e-10,0.0007479999999999994
6.899999999999994e-10,0.0007589999999999994
6.999999999999993e-10,0.0007699999999999993
7.099999999999993e-10,0.0007809999999999993
7.199999999999993e-10,0.0007919999999999993
7.299999999999992e-10,0.0008029999999999992
7.399999999999992e-10,0.0008139999999999992
7.499999999999992e-10,0.0008249999999999991
7.599999999999991e-10,0.0008359999999999991
7.699999999999991e-10,0.0008469999999999991
7.799999999999991e-10,0.0008579999999999991
7.89999999999999e-10,0.000868999999999999
7.99999999999999e-10,0.0008799999999999989
8.09999999999999e-10,0.0008909999999999989
8.199999999999989e-10,0.0009019999999999989
8.299999999999989e-10,0.0009129999999999989
8.399999999999989e-10,0.0009239999999999988
8.499999999999988e-10,0.0009349999999999988
8.599999999999988e-10,0.0009459999999999988
8.699999999999988e-10,0.0009569999999999987
8.799999999999987e-10,0.0009679999999999988
8.899999999999987e-10,0.0009789999999999985
8.999999999999986e-10,0.0009899999999999987
9.099999999999986e-10,0.001000999999999999
9.199999999999986e-10,0.001011999999999999
9.299999999999985e-10,0.001022999999999999
9.399999999999986e-10,0.001033999999999998
9.499999999999986e-10,0.001044999999999999
9.599999999999985e-10,0.001055999999999999
9.699999999999985e-10,0.001066999999999999
9.799999999999985e-10,0.001077999999999998
9.899999999999984e-10,0.001088999999999998
9.999999999999984e-10,0.001099999999999998
1.009999999999998e-09,0.001110999999999998
1.019999999999998e-09,0.001121999999999998
1.029999999999998e-09,0.001132999999999998
1.039999999999998e-09,0.001143999999999998
1.049999999999998e-09,0.001154999999999998
1.059999999999998e-09,0.001165999999999998
1.069999999999998e-09,0.001176999999999998
1.079999999999998e-09,0.001187999999999998
1.089999999999998e-09,0.001198999999999998
1.099999999999998e-09,0.001209999999999998
1.109999999999998e-09,0.001220999999999998
1.119999999999998e-09,0.001231999999999998
1.129999999999998e-09,0.001242999999999998
1.139999999999998e-09,0.001253999999999998
1.149999999999998e-09,0.001264999999999998
1.159999999999998e-09,0.001275999999999998
1.169999999999998e-09,0.001286999999999998
1.179999999999998e-09,0.001297999999999998
1.189999999999998e-09,0.001308999999999998
1.199999999999998e-09,0.001319999999999998
1.209999999999998e-09,0.001330999999999998
1.219999999999998e-09,0.001341999999999997
1.229999999999998e-09,0.001352999999999998
1.239999999999998e-09,0.001363999999999997
1.249999999999998e-09,0.001374999999999998
1.259999999999998e-09,0.001385999999999997
1.269999999999997e-09,0.001396999999999997
1.279999999999997e-09,0.001407999999999997
1.289999999999997e-09,0.001418999999999997
1.299999999999997e-09,0.001429999999999997
1.309999999999997e-09,0.001440999999999997
1.319999999999997e-09,0.001451999999999997
1.329999999999997e-09,0.001462999999999997
1.339999999999997e-09,0.001473999999999997
1.349999999999997e-09,0.001484999999999997
1.359999999999997e-09,0.001495999999999997
1.369999999999997e-09,0.001506999999999997
1.379999999999997e-09,0.001517999999999997
