(VT("/DIN+") - VT("/DIN-")) X,(VT("/DIN+") - VT("/DIN-")) Y
0,0
2.346114615605935e-12,0.008841761109527058
2.95138128796555e-12,0.01112070692601019
4.16191463268478e-12,0.01567395956176837
5e-12,0.01882166266370283
6.072465322137477e-12,0.02284269834985714
7.674146257290557e-12,0.02883005969017666
8.837073128645278e-12,0.03316112819637879
9.999999999999999e-12,0.03747626291714495
1.128929034109682e-11,0.04223914358128233
1.266213834719985e-11,0.04728321215521541
1.383106917359993e-11,0.05155323045209048
1.5e-11,0.05579822120784583
1.62542139215197e-11,0.06032273847637099
1.743846334295618e-11,0.06456395991080655
1.866710204904516e-11,0.06893012542612009
2e-11,0.07362491053693554
2.16215382907244e-11,0.07927341184176623
2.303699305116021e-11,0.08414368349353768
2.40184965255801e-11,0.08748586377626388
2.5e-11,0.09079809994790938
2.639774718283693e-11,0.09546109880259368
2.769070551690698e-11,0.09971558853819529
2.88879322954081e-11,0.1036023171812071
3e-11,0.1071653589957993
3.119414712865566e-11,0.1109389105128079
3.244415008452649e-11,0.1148287259284685
3.378788626096656e-11,0.1189390695044683
3.439394313048328e-11,0.1207681204872089
3.5e-11,0.1225814107305954
3.601014698184582e-11,0.1255680486516468
3.683473193794246e-11,0.1279723477869866
3.762356037907302e-11,0.1302434630133729
3.85668376490121e-11,0.1329214054614747
3.928341882450605e-11,0.1349277216108983
4e-11,0.1369094211857378
4.078374609538254e-11,0.1390482523801528
4.182688403630661e-11,0.1418478068784681
4.268108379123773e-11,0.144099500601993
4.35586487699557e-11,0.146373876281912
4.427932438497786e-11,0.1482117201178355
4.500000000000001e-11,0.150022213926092
4.578550774272882e-11,0.1519640370058337
4.652186878054822e-11,0.1537541210652777
4.753051049862169e-11,0.1561579722304378
4.838087409893179e-11,0.1581407869463467
4.92605925952513e-11,0.1601492851661899
5.000000000000001e-11,0.1618033988749895
5.091342367511539e-11,0.1638033702889823
5.176192758308713e-11,0.1656177063754347
5.264063151388651e-11,0.1674519591179702
5.369046940217253e-11,0.1695831751472616
5.434523470108627e-11,0.1708788047367728
5.500000000000001e-11,0.1721484054007887
5.583992753655377e-11,0.1737386184303051
5.66522994935158e-11,0.1752352363739682
5.752702283090253e-11,0.176800772814465
5.841795422379265e-11,0.1783459070640752
5.920897711189633e-11,0.1796756312351207
6.000000000000001e-11,0.1809654104932039
6.093672908869894e-11,0.1824407143727471
6.186567705667084e-11,0.183847593780082
6.282483147555592e-11,0.1852410686385325
6.387675514045273e-11,0.1866996875356576
6.443837757022636e-11,0.1874484242802346
6.500000000000001e-11,0.1881761537908451
6.576888647367735e-11,0.1891382335369896
6.666378701162817e-11,0.1902079482768123
6.754062184774387e-11,0.1912035764752336
6.842788182208302e-11,0.1921578754957185
6.921394091104151e-11,0.1929584344705149
7e-11,0.1937166322257262
7.08684104691417e-11,0.194504811843041
7.175635070261267e-11,0.1952568278701177
7.270750599402081e-11,0.1960016998837102
7.369435513263855e-11,0.1967079290212483
7.434717756631928e-11,0.1971377239931566
7.5e-11,0.1975376681190275
7.592981453941327e-11,0.1980556534560041
7.674885900749729e-11,0.1984615375935812
7.768948528265748e-11,0.1988693108186942
7.881314913064912e-11,0.1992744760358525
7.940657456532456e-11,0.1994523886968671
8e-11,0.1996053456856544
8.108120462155539e-11,0.1998198130068169
8.2022577442639e-11,0.1999389586978328
8.297323055856952e-11,0.1999953926254998
8.416802709051358e-11,0.1999752458728237
8.499999999999999e-11,0.1999013120731463
8.621747928259325e-11,0.199704518873371
