VT("/VC") X,VT("/VC") Y
0,0
1.5625e-13,1.71875e-06
4.6875e-13,5.15625e-06
1.09375e-12,1.203125e-05
2.34375e-12,2.578125e-05
4.843749999999999e-12,5.328125e-05
9.843749999999998e-12,0.00010828125
1.984375e-11,0.0002182812499999999
2.984375e-11,0.00032828125
3.984374999999999e-11,0.0004382812499999999
4.984374999999999e-11,0.0005482812499999999
5.984374999999999e-11,0.0006582812499999999
6.984374999999999e-11,0.00076828125
7.984375e-11,0.0008782812499999999
8.984375e-11,0.00098828125
9.984375000000001e-11,0.00109828125
1.0984375e-10,0.00120828125
1.1984375e-10,0.00131828125
1.2984375e-10,0.00142828125
1.3984375e-10,0.00153828125
1.4984375e-10,0.00164828125
1.5984375e-10,0.00175828125
1.6984375e-10,0.001868281249999999
1.7984375e-10,0.00197828125
1.898437499999999e-10,0.002088281249999999
1.998437499999999e-10,0.002198281249999999
2.098437499999999e-10,0.002308281249999999
2.198437499999999e-10,0.002418281249999999
2.298437499999999e-10,0.002528281249999999
2.398437499999999e-10,0.002638281249999999
2.498437499999999e-10,0.002748281249999999
2.5984375e-10,0.002858281249999999
2.6984375e-10,0.00296828125
2.7984375e-10,0.00307828125
2.8984375e-10,0.00318828125
2.9984375e-10,0.00329828125
3.0984375e-10,0.00340828125
3.198437500000001e-10,0.003518281250000001
3.298437500000001e-10,0.003628281250000001
3.398437500000001e-10,0.003738281250000001
3.498437500000001e-10,0.003848281250000001
3.598437500000001e-10,0.003958281250000002
3.698437500000001e-10,0.004068281250000002
3.798437500000002e-10,0.004178281250000001
3.898437500000002e-10,0.004288281250000002
3.998437500000002e-10,0.004398281250000002
4.098437500000002e-10,0.004508281250000002
4.198437500000002e-10,0.004618281250000003
4.298437500000003e-10,0.004728281250000003
4.398437500000003e-10,0.004838281250000002
4.498437500000003e-10,0.004948281250000003
4.598437500000003e-10,0.005058281250000003
4.698437500000003e-10,0.005168281250000003
4.798437500000002e-10,0.005278281250000002
4.898437500000002e-10,0.005388281250000002
4.949218750000002e-10,0.005444140625000002
5e-10,0.005500000000000001
5.1e-10,0.00561
5.2e-10,0.005719999999999999
5.299999999999999e-10,0.005829999999999999
5.399999999999999e-10,0.005939999999999998
5.499999999999999e-10,0.006049999999999998
5.599999999999998e-10,0.006159999999999998
5.699999999999998e-10,0.006269999999999998
5.799999999999998e-10,0.006379999999999997
5.899999999999997e-10,0.006489999999999997
5.999999999999997e-10,0.006599999999999996
6.099999999999997e-10,0.006709999999999995
6.199999999999996e-10,0.006819999999999995
6.299999999999996e-10,0.006929999999999995
6.399999999999995e-10,0.007039999999999995
6.499999999999995e-10,0.007149999999999994
6.599999999999995e-10,0.007259999999999994
6.699999999999994e-10,0.007369999999999994
6.799999999999994e-10,0.007479999999999993
6.899999999999994e-10,0.007589999999999993
6.999999999999993e-10,0.007699999999999992
7.099999999999993e-10,0.007809999999999992
7.199999999999993e-10,0.007919999999999991
7.299999999999992e-10,0.008029999999999992
7.399999999999992e-10,0.008139999999999991
7.499999999999992e-10,0.00824999999999999
7.599999999999991e-10,0.008359999999999991
7.699999999999991e-10,0.00846999999999999
7.799999999999991e-10,0.008579999999999989
7.89999999999999e-10,0.008689999999999989
7.99999999999999e-10,0.008799999999999988
8.09999999999999e-10,0.008909999999999987
8.199999999999989e-10,0.009019999999999988
8.299999999999989e-10,0.009129999999999987
8.399999999999989e-10,0.009239999999999986
8.499999999999988e-10,0.009349999999999987
8.599999999999988e-10,0.009459999999999988
8.699999999999988e-10,0.009569999999999987
8.799999999999987e-10,0.009679999999999987
8.899999999999987e-10,0.009789999999999984
8.999999999999986e-10,0.009899999999999985
9.099999999999986e-10,0.01000999999999998
9.199999999999986e-10,0.01011999999999998
9.299999999999985e-10,0.01022999999999998
9.399999999999986e-10,0.01033999999999998
9.499999999999986e-10,0.01044999999999999
9.599999999999985e-10,0.01055999999999998
9.699999999999985e-10,0.01066999999999998
9.799999999999985e-10,0.01077999999999998
9.899999999999984e-10,0.01088999999999998
9.949999999999991e-10,0.01094499999999999
1e-09,0.011
1.008309708962555e-09,0.01109140679858811
1.016590606787487e-09,0.01118249667466236
1.02512812541191e-09,0.01127640937953101
1.034057115131392e-09,0.01137462826644531
1.043274171679098e-09,0.01147601588847008
1.053274171679098e-09,0.01158601588847008
1.063274171679098e-09,0.01169601588847008
1.073274171679098e-09,0.01180601588847008
1.080318942086933e-09,0.01188350836295626
1.085990056396522e-09,0.01194589062036174
1.091094148021426e-09,0.01200203562823569
1.09592652167436e-09,0.01205519173841796
1.100811816587411e-09,0.01210892998246152
1.106007646675482e-09,0.0121660841134303
1.111993642426374e-09,0.01223193006669011
1.118133633290126e-09,0.01229946996619139
1.124783647418155e-09,0.0123726201215997
1.129605066361209e-09,0.0124256557299733
1.133615712649329e-09,0.01246977283914262
1.137523818917512e-09,0.01251276200809264
1.141732383181064e-09,0.0125590562149917
1.146900132336847e-09,0.01261590145570531
1.153137429544532e-09,0.01268451172498986
1.159232274194426e-09,0.01275155501613869
1.165270666320495e-09,0.01281797732952544
1.171491784805131e-09,0.01288640963285644
1.17824467943455e-09,0.01296069147378005
1.184085337245157e-09,0.01302493870969672
1.189459741297123e-09,0.01308405715426836
1.195043878325294e-09,0.01314548266157823
1.20028246299155e-09,0.01320310709290705
1.204667335864961e-09,0.01325134069451457
1.208308742502489e-09,0.01329139616752738
1.211449115267286e-09,0.01332594026794015
1.214366401195658e-09,0.01335803041315223
1.217577334734882e-09,0.01339335068208371
1.220868008670775e-09,0.01342954809537853
