(VT("/DIN+") - VT("/DIN-")) X,(VT("/DIN+") - VT("/DIN-")) Y
0,0
2.604166666666667e-12,0.009813534865483586
3.316995068999932e-12,0.01249663104716081
4.742651873666464e-12,0.01785557111550135
5.946480516695331e-12,0.02237079083007143
7.297099414100446e-12,0.02742275601888317
9.3196702941494e-12,0.03495389725760595
1.100599783333579e-11,0.04119464847619841
1.246633057536218e-11,0.04656563974258332
1.429412267709918e-11,0.05323792499636482
1.603012414259654e-11,0.0595167462508282
1.790993094477041e-11,0.06624361848490401
2.017169289511624e-11,0.07422633752277741
2.307227047819829e-11,0.0842643147593552
2.66727410426117e-11,0.09637080148708943
3.028805646919908e-11,0.1080806704029189
3.425943502517748e-11,0.1203635338231289
3.852458859020901e-11,0.1328023539969128
4.175193718575587e-11,0.1416484816226082
4.421378098692792e-11,0.1480456989767671
4.638773103362154e-11,0.1534302303914848
4.853586226144421e-11,0.1584978141599171
5.052326849830823e-11,0.1629550192376077
5.269148671138112e-11,0.1675567154463024
5.444335149730072e-11,0.1710707175620343
5.601315680886484e-11,0.1740611848582553
5.793393101482112e-11,0.1775126825579298
5.964593342295254e-11,0.1803930544180949
6.157086265777584e-11,0.183407186984013
6.331022527118382e-11,0.1859232102420023
6.463823884292437e-11,0.1877098090681751
6.58545684193544e-11,0.1892429876176323
6.776155543843e-11,0.1914462143017914
6.924333481094112e-11,0.1929875499986464
7.09120813392793e-11,0.1945430734308269
7.226352379060689e-11,0.1956618333840368
7.329952379498341e-11,0.1964335268254118
7.440302025961394e-11,0.197173103777073
7.545764864875397e-11,0.1978002103934087
7.641107314157794e-11,0.1982998711909432
7.753897330956038e-11,0.1988082602615719
7.867886944442365e-11,0.1992307580109873
8.005264025668745e-11,0.1996177081444044
8.123147623858187e-11,0.199843053437827
8.25002337835741e-11,0.1999753403379296
8.378952552736072e-11,0.1999926057305988
8.531955327001335e-11,0.199859845776456
8.660093113754924e-11,0.1996207530162202
8.778558698672271e-11,0.1992961062129936
8.886241053351764e-11,0.1989147884398359
9.017986223497053e-11,0.1983368160259004
9.127911427386563e-11,0.197760951944558
9.237752837808067e-11,0.1971007210554177
9.346474355938012e-11,0.1963640179260706
9.447011764431729e-11,0.1956093743655602
9.548940408639349e-11,0.1947725765045776
9.672680116027995e-11,0.1936601293700244
9.803166355117444e-11,0.1923729181111815
9.943080039732827e-11,0.1908634411065104
1.01057467885076e-10,0.1889416842476626
1.026924533573966e-10,0.1868311183598511
1.044532397589686e-10,0.1843597787147502
1.061388557657935e-10,0.1818036561024128
1.073616752388755e-10,0.1798343203708936
1.086563980971513e-10,0.1776450775046856
1.098143635465463e-10,0.1755974094495983
1.109487359172035e-10,0.1735103390266799
1.121900416315206e-10,0.1711356665395768
1.133376701904277e-10,0.168856824000589
1.144017948931394e-10,0.166673171372681
1.152534849162913e-10,0.164877093018674
1.15955829285736e-10,0.1633639707578722
1.167580503101895e-10,0.1616006620770058
1.174234024246543e-10,0.1601101459116765
1.185513551491602e-10,0.157525907075819
1.194044344013614e-10,0.1555240711865631
1.205792254114745e-10,0.1527015942342278
1.220420319180173e-10,0.1490826482976049
1.236378166054017e-10,0.1450055541157653
1.254306756471063e-10,0.1402686439612542
1.268168869846351e-10,0.1364960453626669
1.281703402810054e-10,0.1327226683541436
1.298586584711974e-10,0.1278949091514274
1.318193638236986e-10,0.1221260471361648
1.337303642691807e-10,0.1163428562316027
1.351044428250374e-10,0.1120908030801142
1.364042935849169e-10,0.1079991893613735
1.372532216531165e-10,0.1052918183171992
1.383088130769352e-10,0.101887838567614
1.39052309908767e-10,0.09946598310123173
1.399578834772654e-10,0.09648984051877685
1.409001580831103e-10,0.09336324745042285
1.41921764767928e-10,0.08994017509001201
1.431797862316413e-10,0.08567926813401511
1.442183737302287e-10,0.08212517187118479
1.459955731580181e-10,0.07597125726941162
1.477530926874479e-10,0.06980162593694073
1.494560605008659e-10,0.06375035612948404
1.507898204041144e-10,0.05896483341803699
1.517789412636895e-10,0.0553916376001215
1.530060389533842e-10,0.05093212974331696
1.540114602977821e-10,0.04725781962791492
1.552526715814432e-10,0.04269854801747908
1.563893027235121e-10,0.03850286236992018
1.578836025146743e-10,0.03296032026624834
1.593822641401135e-10,0.02737534117668972
1.606284327285218e-10,0.02271448879514781
1.618280465414393e-10,0.01821588876750346
1.630525675921875e-10,0.01361429638287931
1.64556447414485e-10,0.007953241522341503
