VT("/CLK") X,VT("/CLK") Y
0,1.419025443165923e-07
2.604166666666667e-12,-5.777303488548983e-06
3.316995068999932e-12,-7.565785616660687e-06
4.742651873666464e-12,-6.700157936949498e-06
5.946480516695331e-12,-2.889258255230428e-06
7.297099414100446e-12,-8.942784716944743e-07
9.3196702941494e-12,-4.557141081586659e-07
1.100599783333579e-11,-6.637740390652329e-07
1.246633057536218e-11,-6.842468573669823e-07
1.429412267709918e-11,1.06982835366193e-06
1.603012414259654e-11,-1.251771755989636e-06
1.790993094477041e-11,-1.303100422733903e-06
2.017169289511624e-11,-1.863269940133576e-06
2.307227047819829e-11,-3.60199552993148e-06
2.66727410426117e-11,-7.644332143478707e-06
3.028805646919908e-11,-1.348058059643056e-05
3.425943502517748e-11,-1.698018196966985e-05
3.852458859020901e-11,3.37409013307858e-05
4.175193718575587e-11,0.0001835082922632193
4.421378098692792e-11,0.0003119097614169252
4.638773103362154e-11,0.0003561395379482454
4.853586226144421e-11,0.0003480489945570556
5.052326849830823e-11,0.0003261727755161238
5.269148671138112e-11,0.0002937102474198278
5.444335149730072e-11,0.0002499567695291859
5.601315680886484e-11,0.0001814014971651838
5.793393101482112e-11,-1.265998511002908e-05
5.964593342295254e-11,-0.0004127318540841218
6.157086265777584e-11,-0.001425128380498716
6.331022527118382e-11,-0.002891294009524879
6.463823884292437e-11,-0.004749568979854843
6.58545684193544e-11,-0.006701578869567134
6.776155543843e-11,-0.01012326803328224
6.924333481094112e-11,-0.01318840110741141
7.09120813392793e-11,-0.01717927042974755
7.226352379060689e-11,-0.02058354862580672
7.329952379498341e-11,-0.02274309755283164
7.440302025961394e-11,-0.0234696743460133
7.545764864875397e-11,-0.02070700290018785
7.641107314157794e-11,-0.01276936357579119
7.753897330956038e-11,0.006235516878253786
7.867886944442365e-11,0.04479020981647822
8.005264025668745e-11,0.1373430941360585
8.123147623858187e-11,0.2467771201719688
8.25002337835741e-11,0.3862924978904036
8.378952552736072e-11,0.5408846424291209
8.531955327001335e-11,0.7263275637362018
8.660093113754924e-11,0.8653555209418594
8.778558698672271e-11,0.9532159434206217
8.886241053351764e-11,0.9953985386624651
9.017986223497053e-11,1.023550484269758
9.127911427386563e-11,1.038206518892415
9.237752837808067e-11,1.048589455097678
9.346474355938012e-11,1.056245045230957
9.447011764431729e-11,1.061760199846004
9.548940408639349e-11,1.066233873747082
9.672680116027995e-11,1.070565782929456
9.803166355117444e-11,1.074154694443936
9.943080039732827e-11,1.077216577299577
1.01057467885076e-10,1.080045556127625
1.026924533573966e-10,1.082320744088074
1.044532397589686e-10,1.084288428914385
1.061388557657935e-10,1.085834970784867
1.073616752388755e-10,1.086792474600327
1.086563980971513e-10,1.087700433471482
1.098143635465463e-10,1.088428123275649
1.109487359172035e-10,1.089086186804415
1.121900416315206e-10,1.08974524702502
1.133376701904277e-10,1.090314802742793
1.144017948931394e-10,1.090805145248591
1.152534849162913e-10,1.091181986727414
1.15955829285736e-10,1.091475677596307
1.167580503101895e-10,1.091804515705
1.174234024246543e-10,1.092062457116761
1.185513551491602e-10,1.092487708994166
1.194044344013614e-10,1.092788094931247
1.205792254114745e-10,1.093182317673769
1.220420319180173e-10,1.093632711539767
1.236378166054017e-10,1.094082251878777
1.254306756471063e-10,1.094536954162224
1.268168869846351e-10,1.094869040973372
1.281703402810054e-10,1.095172946629353
1.298586584711974e-10,1.095537653332652
1.318193638236986e-10,1.095929123879058
1.337303642691807e-10,1.096297126116598
1.351044428250374e-10,1.09656628633756
1.364042935849169e-10,1.096862984166431
1.372532216531165e-10,1.097093090299144
1.383088130769352e-10,1.097465960400113
