VT("/VOUT") X,VT("/VOUT") Y
0,0.2853399296964677
6.25e-13,0.2853399886868812
1.875e-12,0.2853400505484842
4.375e-12,0.2853400991710071
9.375e-12,0.2853400634012119
1.9375e-11,0.2853399210443927
2.9375e-11,0.2853397921195098
3.937499999999999e-11,0.285339672704685
4.937499999999999e-11,0.2853395507831614
5.937499999999999e-11,0.2853394244825315
6.937499999999999e-11,0.2853392960832573
7.9375e-11,0.2853391677912462
8.9375e-11,0.2853390409347553
9.937500000000001e-11,0.2853389162486005
1.09375e-10,0.2853387941652064
1.19375e-10,0.2853386749550348
1.29375e-10,0.28533855878425
1.39375e-10,0.2853384457436927
1.49375e-10,0.2853383358689807
1.59375e-10,0.285338229156281
1.69375e-10,0.285338125574509
1.79375e-10,0.2853380250744135
1.89375e-10,0.2853379275951504
1.993749999999999e-10,0.2853378330689588
2.093749999999999e-10,0.2853377414244496
2.193749999999999e-10,0.2853376525888922
2.293749999999999e-10,0.2853375664897811
2.393749999999999e-10,0.2853374830558911
2.493749999999999e-10,0.2853374022179651
2.593749999999999e-10,0.2853373239091457
2.69375e-10,0.2853372480652265
2.79375e-10,0.2853371746247786
2.89375e-10,0.2853371035291945
2.99375e-10,0.2853370347226768
3.09375e-10,0.2853369681521897
3.19375e-10,0.2853369037673891
3.293750000000001e-10,0.2853368415205397
3.393750000000001e-10,0.2853367813664242
3.493750000000001e-10,0.2853367232622492
3.593750000000001e-10,0.2853366671675499
3.693750000000001e-10,0.2853366130440932
3.793750000000002e-10,0.2853365608557833
3.893750000000002e-10,0.2853365105685648
3.993750000000002e-10,0.2853364621503283
4.093750000000002e-10,0.2853364155708142
4.193750000000002e-10,0.2853363708015162
4.293750000000002e-10,0.2853363278155839
4.393750000000003e-10,0.285336286587724
4.493750000000003e-10,0.2853362470941
4.593750000000003e-10,0.2853362093122306
4.693750000000003e-10,0.2853361732208852
4.793750000000002e-10,0.285336138799979
4.893750000000002e-10,0.2853361060304656
4.946875000000001e-10,0.2853360892884736
5e-10,0.285336073005318
5.1e-10,0.2853381521486638
5.2e-10,0.285343072030977
5.299999999999999e-10,0.2853507388022783
5.399999999999999e-10,0.2853611230239596
5.499999999999999e-10,0.2853742544349268
5.599999999999998e-10,0.2853901906160631
5.699999999999998e-10,0.2854090005867983
5.799999999999998e-10,0.2854307587031941
5.899999999999997e-10,0.2854555417644429
5.999999999999997e-10,0.2854834264203297
6.099999999999997e-10,0.2855144863822575
6.199999999999996e-10,0.2855487903322023
6.299999999999996e-10,0.2855863940613961
6.399999999999995e-10,0.2856273411448976
6.499999999999995e-10,0.2856716642962446
6.599999999999995e-10,0.2857193823629663
6.699999999999994e-10,0.2857705018780413
6.799999999999994e-10,0.2858250095011567
6.899999999999994e-10,0.2858828691795968
6.999999999999993e-10,0.2859440228884511
7.099999999999993e-10,0.2860083898227415
7.199999999999993e-10,0.2860758668723386
7.299999999999992e-10,0.2861463171856713
7.399999999999992e-10,0.2862195814222539
7.499999999999992e-10,0.2862954744966448
7.599999999999991e-10,0.2863745447098668
7.699999999999991e-10,0.2864556308507841
7.799999999999991e-10,0.2865385151308399
7.89999999999999e-10,0.2866229579954411
7.99999999999999e-10,0.2867086795493143
8.09999999999999e-10,0.286795347310256
8.199999999999989e-10,0.2868825711824201
8.299999999999989e-10,0.286969946316908
8.399999999999989e-10,0.2870570441885318
8.499999999999988e-10,0.2871433977686954
8.599999999999988e-10,0.287228530948419
8.699999999999988e-10,0.2873119495649792
8.799999999999987e-10,0.287393844095105
8.899999999999987e-10,0.2874727782374786
8.999999999999986e-10,0.2875482928511543
9.099999999999986e-10,0.2876198379878447
9.199999999999986e-10,0.2876868802490558
9.299999999999985e-10,0.2877488721614691
9.399999999999986e-10,0.2878052095916086
9.499999999999986e-10,0.2878553193533282
9.599999999999985e-10,0.2878986462417512
9.699999999999985e-10,0.2879345908708427
9.799999999999985e-10,0.2879626133265054
9.899999999999984e-10,0.2879822079066344
9.999999999999984e-10,0.2879928239358157
1.009999999999998e-09,0.2879951280605302
1.019999999999998e-09,0.2879855500718711
1.029999999999998e-09,0.2879614754057191
1.039999999999998e-09,0.28792151392787
1.049999999999998e-09,0.287864859415192
1.059999999999998e-09,0.2877908167421557
1.069999999999998e-09,0.2876988286082373
1.079999999999998e-09,0.2875884283636879
1.089999999999998e-09,0.2874591308711709
1.099999999999998e-09,0.2873106090518877
1.109999999999998e-09,0.2871425947001315
1.119999999999998e-09,0.2869549801760544
1.129999999999998e-09,0.2867477323534902
1.139999999999998e-09,0.2865209832113749
1.149999999999998e-09,0.2862749612496455
1.159999999999998e-09,0.2860129650946169
1.169999999999998e-09,0.2857320332839695
1.179999999999998e-09,0.2854330534457911
1.189999999999998e-09,0.285117228290837
1.199999999999998e-09,0.284788462398176
1.209999999999998e-09,0.2844449747680833
1.219999999999998e-09,0.2840880931494754
1.229999999999998e-09,0.2837218897123024
1.239999999999998e-09,0.2833457268322927
1.249999999999998e-09,0.2829610915632125
1.259999999999998e-09,0.2825723422893581
1.269999999999997e-09,0.282179876157677
1.279999999999997e-09,0.2817863778237961
1.289999999999997e-09,0.2813971175147297
1.299999999999997e-09,0.2810119419653979
1.309999999999997e-09,0.2806333136000996
1.319999999999997e-09,0.2802672620483342
1.329999999999997e-09,0.279913815233973
1.339999999999997e-09,0.279576148654958
1.349999999999997e-09,0.2792598812408626
1.359999999999997e-09,0.2789663379378989
1.369999999999997e-09,0.2786989256972622
1.379999999999997e-09,0.2784604773460477
1.389999999999997e-09,0.2782554982831325
