VT("/CLK") X,VT("/CLK") Y
0,1.419025443165923e-07
2.346114615605935e-12,-6.573740844081988e-06
2.95138128796555e-12,-7.923054803015292e-06
4.16191463268478e-12,-7.413406861816443e-06
5e-12,-4.464315927722503e-06
6.072465322137477e-12,5.76906832260284e-05
7.674146257290557e-12,0.000252671958822119
8.837073128645278e-12,0.0004085012073978814
9.999999999999999e-12,0.000514981212871781
1.128929034109682e-11,0.0004749526982419841
1.266213834719985e-11,0.0001433797417002697
1.383106917359993e-11,-0.0001629540702653757
1.5e-11,-0.0004962116888776641
1.62542139215197e-11,-0.0006994039461644231
1.743846334295618e-11,-0.0007293188470609702
1.866710204904516e-11,-0.0007345577219151778
2e-11,-0.0007301182381662682
2.16215382907244e-11,-0.0006146224396705965
2.303699305116021e-11,-0.000429292595401006
2.40184965255801e-11,-0.0003158560127822563
2.5e-11,-0.0002118083736154439
2.639774718283693e-11,-3.241971907454638e-05
2.769070551690698e-11,0.0001581220252619282
2.88879322954081e-11,0.0003359407334781743
3e-11,0.0005064071291926944
3.119414712865566e-11,0.000558009949616549
3.244415008452649e-11,0.0006130033883284837
3.378788626096656e-11,0.0006107605459297351
3.439394313048328e-11,0.0006031896433236017
3.5e-11,0.0005952914296943077
3.601014698184582e-11,0.0006115931842712392
3.683473193794246e-11,0.0006676562928014821
3.762356037907302e-11,0.0007382162828742018
3.85668376490121e-11,0.0008364377524478079
3.928341882450605e-11,0.0009202428775389079
4e-11,0.001008041728082418
4.078374609538254e-11,0.001079250281748979
4.182688403630661e-11,0.00110508610924685
4.268108379123773e-11,0.001102167547078832
4.35586487699557e-11,0.001088280735827315
4.427932438497786e-11,0.001076642157178354
4.500000000000001e-11,0.001062337857262372
4.578550774272882e-11,0.001041396430382471
4.652186878054822e-11,0.001009836146177936
4.753051049862169e-11,0.0009505825791441211
4.838087409893179e-11,0.0008910512487431658
4.92605925952513e-11,0.0008228924040068168
5.000000000000001e-11,0.000759463843208403
5.091342367511539e-11,0.0007025905510969258
5.176192758308713e-11,0.0006857392782813487
5.264063151388651e-11,0.0006813726944583508
5.369046940217253e-11,0.0006910589686706499
5.434523470108627e-11,0.0006989080724377083
5.500000000000001e-11,0.0007031485904711427
5.583992753655377e-11,0.0006237247625581578
5.66522994935158e-11,0.0004243065607491409
5.752702283090253e-11,0.0001376785791370464
5.841795422379265e-11,-0.000220513318480514
5.920897711189633e-11,-0.0006821650574627153
6.000000000000001e-11,-0.001135683000261735
6.093672908869894e-11,-0.001656884829700098
6.186567705667084e-11,-0.002149226410359413
6.282483147555592e-11,-0.002752509993715387
6.387675514045273e-11,-0.003779550246242766
6.443837757022636e-11,-0.004498909688393901
6.500000000000001e-11,-0.005282162809232418
6.576888647367735e-11,-0.006408705687203962
6.666378701162817e-11,-0.007784635945031534
6.754062184774387e-11,-0.00922793287667048
6.842788182208302e-11,-0.01080227471885659
6.921394091104151e-11,-0.01230556230375933
7e-11,-0.01391958039773115
7.08684104691417e-11,-0.01592114257088549
7.175635070261267e-11,-0.01817737895663389
7.270750599402081e-11,-0.02056557949096478
7.369435513263855e-11,-0.02252191106991074
7.434717756631928e-11,-0.02315834093881817
7.5e-11,-0.02277179513414544
7.592981453941327e-11,-0.01908313782844956
7.674885900749729e-11,-0.0112217882256744
7.768948528265748e-11,0.004701447894443241
7.881314913064912e-11,0.04010998326514922
7.940657456532456e-11,0.0728023490758353
8e-11,0.1147279786780972
8.108120462155539e-11,0.2089846715028467
8.2022577442639e-11,0.3065027769616802
8.297323055856952e-11,0.4153832400862082
8.416802709051358e-11,0.5601661716108488
8.499999999999999e-11,0.6626003619010359
8.621747928259325e-11,0.8050102679410979
8.733413938681812e-11,0.9105905516189666
8.845350695768975e-11,0.9748486776749079
8.922675347884487e-11,0.9999758567953502
8.999999999999999e-11,1.017219253306599
9.106061837882464e-11,1.033582411786905
9.210233129357369e-11,1.044820516376036
9.320318587320251e-11,1.053530863331776
9.410159293660124e-11,1.058998779417799
9.499999999999998e-11,1.063417386353223
9.596167489031839e-11,1.067346534079703
9.722401274740077e-11,1.071651328753251
9.850571942551605e-11,1.075215467832005
9.925285971275801e-11,1.076992301298498
9.999999999999998e-11,1.07859088897753
1.012066036683934e-10,1.080850450655261
1.023901875755799e-10,1.082732737067224
1.037578661640084e-10,1.084598344216852
1.05e-10,1.086066921419977
1.067073304764073e-10,1.087567573730086
1.082841998360118e-10,1.088420844226857
1.091420999180059e-10,1.088767666895841
1.1e-10,1.089058968864358
1.111248631012376e-10,1.089458625456259
1.121311008935382e-10,1.08988372414103
1.132174926340711e-10,1.090373959518691
1.142595722705142e-10,1.090850193290036
1.15e-10,1.091188072527735
1.159968266350382e-10,1.091580937754027
1.168921544251977e-10,1.091849716736745
1.175802926968033e-10,1.092017479404822
1.185941463581451e-10,1.092224063526472
1.19422231983182e-10,1.092360885181843
1.2e-10,1.092443906607585
1.2099675237973e-10,1.092742894496614
1.218578641470429e-10,1.093223556133224
1.228350754656461e-10,1.093891832016565
1.240850351264849e-10,1.094841105071528
1.25e-10,1.095568791844211
1.261722053189709e-10,1.096227405006843
1.272647640208784e-10,1.096450696173413
1.287824156918955e-10,1.096484944957975
1.3e-10,1.096390157995309
1.31381667853703e-10,1.096316277086536
1.327831166156345e-10,1.09634296602475
1.338915583078173e-10,1.096413420504032
1.35e-10,1.096533904894513
1.361876560547917e-10,1.096906672256297
1.373980584117735e-10,1.097667558385183
1.386310074814618e-10,1.098778692027335
1.393155037407309e-10,1.099538736040465
1.4e-10,1.100472148641333
